date,open,high,low,close,volume,return_1d,return_5d,realized_vol_20d,spot,strike,dte,T,sigma,r,option_type,call_price,delta,gamma,theta,vega,portfolio_delta,portfolio_gamma,portfolio_theta,portfolio_vega,hedge_0,hedge_25,hedge_50,hedge_75,hedge_100
2005-02-25,53.0208,53.9971,53.0208,53.9803,27937545.35362,,,,53.9803,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-02-28,53.9147,54.0685,53.252,53.6468,21400726.679482,-0.0061781798174519,,,53.6468,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-01,53.8126,54.2026,53.6468,54.0597,22961021.743361,0.0076966380100955,,,54.0597,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-02,53.8295,54.4903,53.7461,53.9634,24847551.855128,-0.0017813639365368,,,53.9634,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-03,54.2115,54.3554,53.6468,54.0061,20587502.336961,0.0007912770507418,,,54.0061,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-04,54.4476,54.7651,54.1758,54.6699,19072636.616105,0.0122912041417542,0.0127750308908991,,54.6699,55.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-07,54.7651,54.9259,54.4903,54.5439,15733140.505692,-0.002304741731739,0.0167223394498834,,54.5439,55.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-08,54.5439,54.661,53.9713,54.026,17932249.04732,-0.0094951039437957,-0.0006233848874483,,54.026,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-09,53.9049,54.016,53.4028,53.4028,27470796.59595,-0.0115351867619295,-0.0103885225912377,,53.4028,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-10,53.4901,53.8215,52.8769,53.1825,27093023.964921,-0.0041252518594531,-0.0152501291520773,,53.1825,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-11,53.3184,53.5764,52.854,53.1418,18280837.976424,-0.0007652893338973,-0.0279513955577016,,53.1418,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-14,53.3016,53.5427,53.0575,53.5427,17868221.871737,0.0075439672724673,-0.0183558564752428,,53.5427,54.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-15,53.7629,53.88,53.0654,53.1825,21751434.999607,-0.0067273409820574,-0.0156128530707437,,53.1825,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-16,52.994,53.2252,52.6635,52.8769,25411038.769699,-0.0057462511164386,-0.0098477982427888,,52.8769,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-17,52.9007,53.2073,52.613,52.8769,23070709.04682,0.0,-0.0057462511164386,,52.8769,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-18,52.9166,52.9761,52.4621,52.598,28411830.395666,-0.0052745149583277,-0.0102329992585874,,52.598,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-21,52.7161,52.7935,52.3232,52.6635,19524555.683402,0.0012452944978895,-0.0164205391211127,,52.6635,53.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-22,52.7251,53.3274,52.2994,52.2994,36332417.909068,-0.0069137068368034,-0.0166050862595777,,52.2994,52.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-23,52.2577,52.2756,51.84,51.9174,25397148.34344,-0.0073040990910029,-0.0181459200520454,,51.9174,52.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-24,51.961,52.3559,51.84,51.8747,19185145.743078,-0.0008224602926957,-0.0189534560460239,,51.8747,52.0,30,0.0821917808219178,,0.03,call,,,,,,,,,,,,,,
2005-03-28,52.0533,52.2657,51.8032,51.9004,14792586.415972,0.0004954245518529,-0.0132628617057682,0.0956185448154784,51.9004,52.0,30,0.0821917808219178,0.0956185448154784,0.03,call,0.5817638902834936,0.5134483614008089,0.280243909673381,-4.2328882359146816,5.932641610189769,51.344836140080886,28.024390967338096,-423.28882359146814,593.2641610189769,-0.0,-12.836209035020222,-25.672418070040443,-38.50862710506067,-51.344836140080886
2005-03-29,51.8122,52.2994,50.9161,51.1523,25670185.971281,-0.0144141470971321,-0.0286953962421792,0.1045097848788126,51.1523,51.0,30,0.0821917808219178,0.1045097848788126,0.03,call,0.758744817171678,0.5780068379465192,0.2553076536691394,-4.512424320736639,5.738250595672173,57.80068379465192,25.530765366913943,-451.2424320736639,573.8250595672173,-0.0,-14.45017094866298,-28.90034189732596,-43.35051284598894,-57.80068379465192
2005-03-30,51.2317,51.9342,51.2158,51.9094,22792733.227825,0.014800898493323,-0.0074570645169925,0.1159865662706968,51.9094,52.0,30,0.0821917808219178,0.1159865662706968,0.03,call,0.7072299793132402,0.5152903892471045,0.2309526916134041,-4.967247207416864,5.9326827898174,51.52903892471045,23.095269161340408,-496.7247207416864,593.26827898174,-0.0,-12.882259731177612,-25.764519462355224,-38.646779193532836,-51.52903892471045
2005-03-31,51.9174,51.9948,51.6227,51.9004,24111535.627393,-0.0001733790026469,-0.0003274432078648,0.1161674492785596,51.9004,52.0,30,0.0821917808219178,0.1161674492785596,0.03,call,0.7036748559021078,0.5132115333108097,0.2306760363962576,-4.970560206879836,5.93275937548423,51.32115333108097,23.06760363962576,-497.0560206879835,593.275937548423,-0.0,-12.830288332770243,-25.660576665540486,-38.49086499831073,-51.32115333108097
